,Type,Date,Set Time,Title,Amount,Currency,Exchange Rate,Category Group Name,Category,Account,Notes,Labels,Status
19,Expense,2023-01-27 14:24:59,14:24,Eggs,-78.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family,None
20,Expense,2023-01-26 20:05:55,20:05,Sunth powder,-25.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family,None
21,Expense,2023-01-26 20:05:48,20:05,Pani puri,-20.0,INR,1.0,Entertainment,Dining Out,Dipti Savings,,0 Dipti,None
22,Expense,2023-01-26 20:05:34,20:05,Veggies,-70.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family Health ,None
23,Expense,2023-01-26 20:05:25,20:05,Tailor work,-140.0,INR,1.0,Household,Maintenance,Dipti Savings,,0 Dipti,None
24,Expense,2023-01-26 14:25:36,14:25,Just Born Chocolate and Wafles,-548.0,INR,1.0,Entertainment,FoodDelivery,Sodexho,,0 Family,None
25,Expense,2023-01-26 11:34:41,11:34,BigBasket,-1300.0,INR,1.0,Household,Grocery,Sodexho,,0 Family,None
26,Expense,2023-01-26 11:34:06,11:34,BigBasket,-24.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family,None
27,Expense,2023-01-26 07:55:18,07:55,Nyati Electricity bill,-1150.0,INR,1.0,Household,Monthly,AmitK Savings,,0 Family,None
28,Expense,2023-01-25 11:35:58,11:35,BB coffee,-40.0,INR,1.0,Entertainment,Dining Out,Sodexho,,0 Amit,None
29,Expense,2023-01-25 11:35:57,11:35,BB snacks,-60.0,INR,1.0,Entertainment,Dining Out,Sodexho,,0 Amit,None
32,Expense,2023-01-23 20:40:25,20:40,Strap for FitBit,-1124.0,INR,1.0,Household,HouseholdItems,AmitK CC,,0 Adi,None
33,Expense,2023-01-22 18:50:30,18:50,Sunday lunch,-220.0,INR,1.0,Entertainment,Dining Out,Dipti Savings,,0 Adi 0 Dipti,None
34,Expense,2023-01-22 18:50:00,18:50,Nyati race registration,-60.0,INR,1.0,Entertainment,Exercise,Dipti Savings,,0 Family,None
35,Expense,2023-01-22 15:44:43,15:44,Airport food,-219.0,INR,1.0,Entertainment,Dining Out,AmitK CC,,0 Amit Campus,None
36,Expense,2023-01-22 15:44:22,15:44,Haldirams,-160.0,INR,1.0,Entertainment,FoodDelivery,AmitK Savings,,0 Family,None
37,Expense,2023-01-22 00:47:15,00:47,Puran Poli,-90.0,INR,1.0,Entertainment,Dining Out,AmitK Savings,,Campus,None
38,Expense,2023-01-22 00:47:00,00:47,Chaat,-30.0,INR,1.0,Entertainment,Dining Out,AmitK Savings,,Campus,None
39,Expense,2023-01-21 18:53:07,18:53,Cab Ujjain,-700.0,INR,1.0,Travel,Cab,AmitK Savings,,Campus,None
40,Expense,2023-01-21 18:53:06,18:53,Temple Ujjain,-250.0,INR,1.0,Travel,Booking,AmitK Savings,,Campus,None
41,Expense,2023-01-21 18:51:22,18:51,Cab 1,-56.0,INR,1.0,Travel,Cab,Dipti Savings,,0 Family,None
42,Expense,2023-01-21 18:51:21,18:51,Cab 2,-64.0,INR,1.0,Travel,Cab,Dipti Savings,,0 Family,None
43,Expense,2023-01-21 18:51:20,18:51,Chhole Kulcha,-110.0,INR,1.0,Entertainment,FoodDelivery,Dipti Savings,,0 Family,None
44,Expense,2023-01-21 18:51:19,18:51,Ice cream,-551.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family,None
45,Expense,2023-01-21 14:04:26,14:04,Idli rice,-80.0,INR,1.0,Household,Grocery,Dipti Savings,,0 Family,None
46,Expense,2023-01-21 11:10:38,11:10,Auto Mariott,-200.0,INR,1.0,Travel,Cab,Wallet,,Campus,None
47,Expense,2023-01-20 22:05:31,22:05,Dabeli,-80.0,INR,1.0,Entertainment,Dining Out,AmitK Savings,,Campus,None
